date,open,high,low,prev_close,ltp,close,vwap,52w_high,52w_low,volume,value,no_of_trades
11/19/2020,891,912.8,866.15,895.85,882,883.9,890.77,1218,366,578854,515624104,21456
11/20/2020,885.35,898.15,871.4,883.9,882,878.05,881.93,1218,366,315761,278479053,14907
11/23/2020,885,892.75,865.55,878.05,870,869.65,875.21,1218,366,299844,262426386,11230
11/24/2020,885,891.65,870,869.65,874.5,874.35,880.7,1218,366,336748,296572910,12504
11/25/2020,877.4,879.8,851,874.35,858,856.25,866.38,1218,366,451699,391341357,19807
11/26/2020,859,871.1,845.6,856.25,865.4,861.05,859.66,1218,366,386462,332226769,18651
11/27/2020,875,884.85,826,861.05,845,839.05,853.44,1218,366,849900,725341042,24098
12/1/2020,849.5,875,840,839.05,874.85,872.9,866.41,1218,366,610117,528613101,27763
12/2/2020,877.2,890,862,872.9,886.5,886.65,880.35,1218,366,463500,408043188,23805
12/3/2020,890,894.1,872,886.65,882.8,880.3,884.87,1218,366,286672,253668359,13498
12/4/2020,884.8,895,869,880.3,885,880.45,882.56,1218,366,318975,281515635,19042
12/7/2020,881,909.5,880,880.45,898.3,898.65,897.61,1218,366,406824,365169963,20278
12/8/2020,903,934,901.9,898.65,908.3,907.8,915.59,1218,366,660653,604888055,22809
12/9/2020,914,925,907.3,907.8,920.1,918.9,915.68,1218,366,325624,298168507,14690
12/10/2020,920.1,925,901.35,918.9,909,911.05,910.27,1218,366,298753,271946129,11518
12/11/2020,913.7,923,898,911.05,919.15,920.3,917.04,1218,366,516358,473518720,14221
12/14/2020,910,932,902,920.3,926,929.45,923.41,1218,366,294365,271818724,14543
12/15/2020,925.7,928.25,905,929.45,920,922.6,920.63,1218,366,232080,213659788,10106
12/16/2020,924.9,926.9,910.1,922.6,914,915.8,915.82,1218,366,256234,234663867,8582
12/17/2020,915.8,950,910,915.8,948.45,943.15,933.09,1218,366,449284,419222765,17715
12/18/2020,923.95,923.95,880.5,943.15,896,897,901.89,1218,366,5563902,5018007060,90595
12/21/2020,900,904.45,720.45,897,842,840.45,862.97,1218,366,1150235,992613521,56064
12/22/2020,842,880,822.25,840.45,862.95,856,849.37,1218,366,687807,584202306,42679
12/23/2020,856,874,844.85,856,872,868.75,860.43,1218,366,1300913,1119348014,64242
12/24/2020,870,880,853.1,868.75,869.1,867.85,866.44,1218,366,793479,687501698,54205
12/28/2020,876.95,876.95,851,867.85,853,856.25,861.7,1218,366,490614,422760279,35459
12/29/2020,870.1,875.75,844.1,856.25,847,848.45,859.53,1218,366,1085754,933236856,69215
12/30/2020,855,860,841.65,848.45,852.9,852.45,851.46,1218,366,591396,503548550,34434
12/31/2020,856,856,840.5,852.45,851.5,852.6,848.93,1218,366,651841,553365544,41059
1/1/2021,855,880.65,847.25,852.6,876.05,875.35,862.42,1218,366,756071,652048559,23676
1/4/2021,890,891.75,868,875.35,879.8,883.25,881.36,1218,366,1346862,1187068157,29129
1/5/2021,889.55,890,872.5,883.25,885,884.65,884.61,1218,366,766652,678188967,36525
1/6/2021,893,897,873,884.65,880,889.55,889.6,1218,366,1308275,1163838304,23838
1/7/2021,893.95,900,881.15,889.55,889,888,888.93,1218,366,577897,513707301,26939
1/8/2021,899,916.3,887.9,888,890,893.6,899.62,1218,366,987790,888631245,38098
1/11/2021,900.85,904.5,873.5,893.6,895.35,899.45,890.3,1218,366,564393,502478545,38258
1/12/2021,895.5,908,894.95,899.45,905,904.85,901.92,1218,366,472697,426336447,22368
1/13/2021,908.95,908.95,884.15,904.85,889,892.5,899.04,1218,366,730301,656571975,18248
